id,label
1,truck
2,airplane
3,automobile
4,ship
5,airplane
6,cat
7,airplane
8,cat
9,truck
10,dog
11,bird
12,horse
13,frog
14,truck
15,dog
16,airplane
17,dog
18,bird
19,airplane
20,frog
21,airplane
22,ship
23,frog
24,automobile
25,frog
26,truck
27,automobile
28,dog
29,bird
30,cat
31,dog
32,horse
33,dog
34,frog
35,deer
36,cat
37,deer
38,dog
39,ship
40,cat
41,frog
42,bird
43,truck
44,deer
45,horse
46,automobile
47,bird
48,deer
49,airplane
50,truck
51,bird
52,horse
53,dog
54,frog
55,ship
56,ship
57,frog
58,ship
59,airplane
60,frog
61,frog
62,cat
63,deer
64,frog
65,ship
66,truck
67,ship
68,horse
69,frog
70,frog
71,truck
72,bird
73,truck
74,deer
75,frog
76,horse
77,airplane
78,frog
79,horse
80,dog
81,bird
82,deer
83,ship
84,cat
85,frog
86,frog
87,dog
88,frog
89,bird
90,airplane
91,automobile
92,airplane
93,cat
94,horse
95,automobile
96,frog
97,truck
98,bird
99,truck
100,bird
101,deer
102,airplane
103,dog
104,cat
105,ship
106,airplane
107,automobile
108,frog
109,frog
110,frog
111,horse
112,deer
113,deer
114,airplane
115,truck
116,horse
117,truck
118,horse
119,cat
120,automobile
121,airplane
122,truck
123,horse
124,cat
125,ship
126,cat
127,truck
128,cat
129,airplane
130,bird
131,truck
132,truck
133,airplane
134,automobile
135,truck
136,cat
137,horse
138,frog
139,dog
140,automobile
141,frog
142,dog
143,horse
144,deer
145,automobile
146,frog
147,frog
148,ship
149,bird
150,frog
151,ship
152,dog
153,dog
154,truck
155,truck
156,horse
157,bird
158,ship
159,truck
160,dog
161,frog
162,frog
163,frog
164,cat
165,frog
166,automobile
167,frog
168,frog
169,truck
170,frog
171,bird
172,cat
173,ship
174,frog
175,bird
176,ship
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,cat
185,ship
186,dog
187,ship
188,horse
189,cat
190,bird
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,deer
197,automobile
198,cat
199,ship
200,bird
201,truck
202,cat
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,cat
209,bird
210,dog
211,automobile
212,horse
213,horse
214,frog
215,cat
216,bird
217,dog
218,bird
219,cat
220,automobile
221,frog
222,airplane
223,deer
224,deer
225,truck
226,truck
227,horse
228,dog
229,horse
230,truck
231,ship
232,deer
233,cat
234,frog
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,automobile
242,ship
243,horse
244,cat
245,cat
246,deer
247,horse
248,truck
249,ship
250,horse
251,bird
252,airplane
253,frog
254,airplane
255,dog
256,deer
257,frog
258,ship
259,deer
260,airplane
261,dog
262,airplane
263,horse
264,horse
265,frog
266,bird
267,cat
268,bird
269,bird
270,automobile
271,dog
272,truck
273,dog
274,cat
275,horse
276,deer
277,frog
278,dog
279,bird
280,cat
281,dog
282,bird
283,cat
284,truck
285,frog
286,cat
287,ship
288,truck
289,cat
290,frog
291,automobile
292,deer
293,airplane
294,cat
295,ship
296,frog
297,frog
298,frog
299,ship
300,truck
301,ship
302,frog
303,frog
304,deer
305,frog
306,automobile
307,airplane
308,horse
309,frog
310,deer
311,automobile
312,deer
313,ship
314,truck
315,cat
316,cat
317,ship
318,deer
319,frog
320,frog
321,horse
322,horse
323,ship
324,dog
325,horse
326,ship
327,cat
328,dog
329,truck
330,truck
331,frog
332,bird
333,bird
334,airplane
335,cat
336,deer
337,dog
338,automobile
339,ship
340,bird
341,ship
342,frog
343,bird
344,cat
345,frog
346,ship
347,airplane
348,cat
349,truck
350,deer
351,horse
352,truck
353,deer
354,cat
355,airplane
356,cat
357,airplane
358,deer
359,airplane
360,frog
361,horse
362,bird
363,airplane
364,ship
365,frog
366,frog
367,cat
368,frog
